"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","TENPC","select"
"49",4,5.64631373306073,1.88483979082763,9,0,0,"Uncertainty",36,9,10000,0.25,1,1,0,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"50",2,5.61185670995372,3.12081512539301,130,1,0,"Flexibility",518,9,10000,0.25,1,1,0,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5611.85670995372,"min"
"51",2,5.62710724860374,3.14277802146558,251,1,3,"3 Month",34,9,10000,0.25,1,1,0,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5627.10724860374,"min"
"52",2,5.640297323193,3.15793971328069,372,1,6,"6 Month",518,9,10000,0.25,1,1,0,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"53",4,5.64631373306073,1.88483979082763,493,1,9,"9 Month",36,9,10000,0.25,1,1,0,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"54",4,5.64631373306073,1.88483979082763,614,1,12,"12 Month",520,9,10000,0.25,1,1,0,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"55",4,5.64631373306073,1.88483979082763,10,0,0,"Uncertainty",40,10,10000,0.25,1,1,0,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"56",2,5.61185670995372,3.12081512539301,131,1,0,"Flexibility",522,10,10000,0.25,1,1,0,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5611.85670995372,"min"
"57",2,5.62710724860374,3.14277802146558,252,1,3,"3 Month",38,10,10000,0.25,1,1,0,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5627.10724860374,"min"
"58",2,5.640297323193,3.15793971328069,373,1,6,"6 Month",522,10,10000,0.25,1,1,0,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"59",4,5.64631373306073,1.88483979082763,494,1,9,"9 Month",40,10,10000,0.25,1,1,0,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"60",4,5.64631373306073,1.88483979082763,615,1,12,"12 Month",524,10,10000,0.25,1,1,0,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"61",4,5.64631373306073,1.88483979082763,11,0,0,"Uncertainty",44,11,10000,0.25,1,1,0,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"62",2,5.61185670995372,3.12081512539301,132,1,0,"Flexibility",526,11,10000,0.25,1,1,0,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5611.85670995372,"min"
"63",2,5.62710724860374,3.14277802146558,253,1,3,"3 Month",42,11,10000,0.25,1,1,0,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5627.10724860374,"min"
"64",2,5.640297323193,3.15793971328069,374,1,6,"6 Month",526,11,10000,0.25,1,1,0,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"65",4,5.64631373306073,1.88483979082763,495,1,9,"9 Month",44,11,10000,0.25,1,1,0,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"66",4,5.64631373306073,1.88483979082763,616,1,12,"12 Month",528,11,10000,0.25,1,1,0,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"67",4,5.64631373306073,1.88483979082763,12,0,0,"Uncertainty",48,12,10000,0.25,1,1,0.1,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"68",3,5.52071916430844,2.75331369925173,133,1,0,"Flexibility",531,12,10000,0.25,1,1,0.1,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5520.71916430844,"min"
"69",3,5.57776276688119,2.82091109465329,254,1,3,"3 Month",47,12,10000,0.25,1,1,0.1,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5577.76276688119,"min"
"70",3,5.64118879050263,2.90859720205247,375,1,6,"6 Month",531,12,10000,0.25,1,1,0.1,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5641.18879050263,"min"
