"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","LSCOOptionText","CRLCOOptionText","MESCDOptionText","TENPC","select","tag"
"55",1,4.98629485769601,2.18809503069253,10,0,0,"Uncertainty",37,10,100,0.25,1,1,0.25,0.5,0,0.9,0.1,1,"Standard","LSCO =  0","CRLCO =  0.9","MESCD =  0.1",4986.29485769601,"min","LSCO =  0   CRLCO =  0.9   MESCD =  0.1"
"56",1,4.98629485769601,2.18809503069253,72,1,0,"Flexibility",37,10,100,0.25,1,1,0.25,0.5,0,0.9,0.1,1,"Standard","LSCO =  0","CRLCO =  0.9","MESCD =  0.1",4986.29485769601,"min","LSCO =  0   CRLCO =  0.9   MESCD =  0.1"
"57",1,4.98629485769601,2.18809503069253,134,1,3,"3 Month Delay",37,10,100,0.25,1,1,0.25,0.5,0,0.9,0.1,1,"Standard","LSCO =  0","CRLCO =  0.9","MESCD =  0.1",4986.29485769601,"min","LSCO =  0   CRLCO =  0.9   MESCD =  0.1"
"58",1,4.98629485769601,2.18809503069253,196,1,6,"6 Month Delay",37,10,100,0.25,1,1,0.25,0.5,0,0.9,0.1,1,"Standard","LSCO =  0","CRLCO =  0.9","MESCD =  0.1",4986.29485769601,"min","LSCO =  0   CRLCO =  0.9   MESCD =  0.1"
"59",1,4.98629485769601,2.18809503069253,258,1,9,"9 Month Delay",37,10,100,0.25,1,1,0.25,0.5,0,0.9,0.1,1,"Standard","LSCO =  0","CRLCO =  0.9","MESCD =  0.1",4986.29485769601,"min","LSCO =  0   CRLCO =  0.9   MESCD =  0.1"
"60",1,4.98629485769601,2.18809503069253,320,1,12,"12 Month Delay",37,10,100,0.25,1,1,0.25,0.5,0,0.9,0.1,1,"Standard","LSCO =  0","CRLCO =  0.9","MESCD =  0.1",4986.29485769601,"min","LSCO =  0   CRLCO =  0.9   MESCD =  0.1"
"61",1,4.98629485769601,2.18809503069253,11,0,0,"Uncertainty",41,11,100,0.25,1,1,0.25,0.5,0,1,0,1,"Standard","LSCO =  0","CRLCO =  1","MESCD =  0",4986.29485769601,"min","LSCO =  0   CRLCO =  1   MESCD =  0"
"62",1,4.98629485769601,2.18809503069253,73,1,0,"Flexibility",41,11,100,0.25,1,1,0.25,0.5,0,1,0,1,"Standard","LSCO =  0","CRLCO =  1","MESCD =  0",4986.29485769601,"min","LSCO =  0   CRLCO =  1   MESCD =  0"
"63",1,4.98629485769601,2.18809503069253,135,1,3,"3 Month Delay",41,11,100,0.25,1,1,0.25,0.5,0,1,0,1,"Standard","LSCO =  0","CRLCO =  1","MESCD =  0",4986.29485769601,"min","LSCO =  0   CRLCO =  1   MESCD =  0"
"64",1,4.98629485769601,2.18809503069253,197,1,6,"6 Month Delay",41,11,100,0.25,1,1,0.25,0.5,0,1,0,1,"Standard","LSCO =  0","CRLCO =  1","MESCD =  0",4986.29485769601,"min","LSCO =  0   CRLCO =  1   MESCD =  0"
"65",1,4.98629485769601,2.18809503069253,259,1,9,"9 Month Delay",41,11,100,0.25,1,1,0.25,0.5,0,1,0,1,"Standard","LSCO =  0","CRLCO =  1","MESCD =  0",4986.29485769601,"min","LSCO =  0   CRLCO =  1   MESCD =  0"
"66",1,4.98629485769601,2.18809503069253,321,1,12,"12 Month Delay",41,11,100,0.25,1,1,0.25,0.5,0,1,0,1,"Standard","LSCO =  0","CRLCO =  1","MESCD =  0",4986.29485769601,"min","LSCO =  0   CRLCO =  1   MESCD =  0"
"67",1,4.03271407268582,0.327140726858181,12,0,0,"Uncertainty",45,12,100,0.25,1,1,0.25,0.5,0.1,0,0.9,1,"Standard","LSCO =  0.1","CRLCO =  0","MESCD =  0.9",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0   MESCD =  0.9"
"68",1,4.03271407268582,0.327140726858181,74,1,0,"Flexibility",45,12,100,0.25,1,1,0.25,0.5,0.1,0,0.9,1,"Standard","LSCO =  0.1","CRLCO =  0","MESCD =  0.9",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0   MESCD =  0.9"
